Date,Open Interest,Producer/Merchant/ Processor/User Long,Producer/Merchant/ Processor/User Short,Swap Dealers Long,Swap Dealers short,Swap Dealers Spreading,Managed Money Long,Managed Money Short,Managed Money Spreading,Other Reportables Long,Other Reportables Short,Other Reportables Spreading,Nonreportable Positions Long,Nonreportable PositionsShort
7/18/2023,460130,227486,278621,22952,64495,39545,82996,4900,23184,15323,4238,43882,4762,1265
7/11/2023,446139,208461,275466,20948,57660,37622,91919,3810,25415,16481,4560,40098,5195,1508
7/4/2023,446248,202918,283606,22776,48628,36812,95086,3552,26182,16845,4884,41003,4626,1581
6/27/2023,481736,204676,294179,27972,47244,43660,97073,4057,29985,17795,5209,55593,4982,1809
6/20/2023,472105,196990,293045,31101,44798,42589,99201,4355,27172,17086,5728,52828,5138,1590
6/13/2023,461805,188847,287069,33456,44798,41256,98950,4751,25124,16852,5213,52216,5104,1378
6/6/2023,422996,158784,271017,33617,29931,39733,98866,4901,22632,15934,4276,48485,4945,2021
5/30/2023,415711,156272,271533,35705,28034,36404,98924,5144,21856,15360,4601,46579,4611,1560
5/23/2023,413356,155194,270454,32744,29468,35307,102181,4822,21636,16315,5398,44606,5373,1665
5/16/2023,394590,145349,253624,31397,29422,32590,98326,5649,23044,16549,5327,42399,4936,2535
5/9/2023,389368,146879,256227,29729,28359,29473,100318,5109,21367,15098,5026,41246,5258,2561
5/2/2023,382931,143644,256871,30644,28520,24539,104611,5678,22301,14463,5350,37187,5542,2485
4/25/2023,420581,156139,275844,36012,26902,34749,104550,6215,23269,15066,6046,44941,5855,2615
4/18/2023,411389,153318,275035,32196,19006,34984,101949,6889,24550,15275,5377,43217,5900,2331
4/11/2023,392905,146624,265919,33527,16449,31810,96509,7286,23598,14707,5329,40649,5481,1865
4/4/2023,383150,145393,257126,32739,16271,30924,91122,8585,24656,14094,4345,38577,5645,2666
3/28/2023,373127,142245,245506,30723,20416,28993,87306,8572,26479,14965,3232,37291,5125,2638
3/21/2023,360487,140261,238988,26839,19681,29272,82752,8275,23555,15492,1763,36833,5483,2120
3/14/2023,355503,136651,242094,30075,19823,22603,86729,10029,23523,17529,1005,34477,3916,1949
3/7/2023,368824,135185,256276,29809,21128,24395,101584,8998,19942,18270,1227,34549,5090,2309
2/28/2023,357600,132825,252563,27741,20533,20375,101668,9424,17790,18894,2066,32742,5565,2107
2/21/2023,369898,131848,250782,29059,20824,30092,98293,8933,16362,19199,1031,39048,5997,2826
2/14/2023,338816,125041,234079,28954,19818,27422,88019,7708,13569,17626,846,33021,5164,2353
2/7/2023,325752,118627,226511,27982,18601,26660,87406,8736,10519,18463,644,31177,4918,2904
1/31/2023,333440,121822,230995,27536,19051,24949,87956,8046,11073,19755,588,35436,4913,3302
1/24/2023,332252,123547,235492,30918,16111,25120,85635,8504,11343,18580,552,32631,4478,2499
1/17/2023,348852,126661,248500,27640,16293,26004,95062,7027,12312,20334,780,35690,5149,2246
1/10/2023,348939,135994,244167,24299,27038,24534,94603,5791,11270,19753,523,33724,4762,1892
1/3/2023,339365,135630,235219,22266,27824,24079,89064,5945,10907,19287,1067,32172,5960,2152
12/27/2022,331732,134513,237886,20384,19231,23694,85445,5765,10633,19374,867,32081,5608,1575
12/20/2022,320391,130251,238305,32364,17983,17973,80302,5689,9521,17299,1403,27958,4723,1559
12/13/2022,319461,136436,238891,32580,17915,17386,74451,5423,9825,16622,862,27157,5004,2002
12/6/2022,313449,132206,235635,31372,16059,15657,75540,4976,9898,15510,1086,28805,4461,1333
11/29/2022,397745,165112,263384,31228,27606,28913,81983,5931,11924,16949,1926,56814,4822,1247
11/22/2022,384528,164797,260161,30407,28546,24624,81280,5597,12857,16224,1457,49788,4551,1498
11/15/2022,370611,159336,250546,30456,29337,22747,80181,5620,12432,14586,2374,46187,4686,1368
11/8/2022,362431,155012,238051,26102,30740,23211,80064,6530,12293,14868,3918,45926,4955,1762
11/1/2022,331763,148299,220737,31390,28275,18708,68298,7529,11756,10060,4378,38661,4591,1719
10/25/2022,321787,139127,211400,31011,28733,17363,71707,8337,12028,10566,6049,36062,3923,1815
10/18/2022,329319,148557,215562,31067,28845,17436,65714,8548,11487,10137,4882,40846,4075,1713
10/11/2022,333428,152097,215131,28555,29877,17694,64307,8749,13547,11432,5146,41547,4249,1737
10/4/2022,315376,149977,204536,29591,29403,16872,57518,9890,12244,10046,5680,35452,3676,1299
9/27/2022,303704,151950,196636,29131,30293,16276,48630,12276,12154,11753,3922,30463,3347,1684
9/20/2022,292010,151222,192112,32228,29194,15514,41293,11707,10494,10663,3522,27193,3403,2274
9/13/2022,276159,140448,186542,35384,21941,13715,39300,12649,10894,8909,3074,24578,2931,2766
9/6/2022,285158,156867,181700,27179,35786,16405,34002,9473,13318,11189,2886,22731,3467,2859
8/30/2022,293578,168861,188936,26644,28984,19306,27124,15454,10084,12840,2703,25306,3413,2805
8/23/2022,295487,178191,183860,27437,32060,18906,23462,17918,9798,9196,4090,25025,3472,3830
8/16/2022,290313,177185,178043,28379,32240,18392,20868,20162,10224,7705,3231,25609,1951,2412
8/9/2022,296930,185304,173620,27743,40139,18738,19269,23961,9816,9118,2973,24950,1992,2733
8/2/2022,301625,186751,175070,29354,39573,19060,17990,24058,10686,8468,2759,27522,1794,2897
7/26/2022,303877,184473,183203,31834,33461,20108,18486,25027,10817,10374,2463,26434,1351,2364
7/19/2022,293924,177339,171878,32797,32864,19173,16979,28424,10708,9205,1084,26264,1459,3529
7/12/2022,288656,171083,172036,31802,32234,19211,18928,24899,10206,10144,1272,25820,1462,2978
7/5/2022,291312,170446,168701,32130,32023,20154,18789,27536,12190,10232,1162,25734,1637,3812
6/28/2022,302235,169390,177932,32802,32233,20207,20579,19659,15566,10793,985,31803,1095,3850
6/21/2022,308184,168323,174798,30974,33394,21296,21807,21563,22841,11448,1047,31257,238,1988
6/14/2022,309948,167452,177975,31721,33605,21170,26229,20118,20554,10034,1469,31905,883,3152
6/7/2022,310383,166179,182155,31420,34026,21102,27960,16690,18950,10760,901,30723,3289,5836
5/31/2022,310619,167907,181078,32224,36492,21602,28369,18602,18682,10583,961,30081,1171,3121
5/24/2022,306686,167186,180981,31733,36664,19473,28952,17172,18910,9735,836,29846,851,2804
5/17/2022,298433,163487,180007,26309,36745,19213,31874,13122,19610,9856,103,26743,1341,2890
